City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Fortuna,US,40.5982,-124.1573,71.35,72,0,8.01,clear sky
1,Longyearbyen,SJ,78.2186,15.6401,40.84,93,75,2.3,broken clouds
2,Castro,BR,-24.7911,-50.0119,53.24,93,100,7.78,overcast clouds
3,Morant Bay,JM,17.8815,-76.4093,86.7,76,100,3.33,overcast clouds
4,Chokurdakh,RU,70.6333,147.9167,22.12,90,91,4.07,overcast clouds
5,Muros,ES,42.7762,-9.0603,59.09,89,5,8.43,clear sky
6,Faya,SA,18.3851,42.4509,66.31,24,4,5.35,clear sky
7,North Platte,US,41.1239,-100.7654,81.12,34,0,14.97,clear sky
8,Huarmey,PE,-10.0681,-78.1522,67.3,70,13,11.45,few clouds
9,Jamestown,US,42.097,-79.2353,59.02,50,75,8.05,broken clouds
10,Saskylakh,RU,71.9167,114.0833,23.76,97,100,8.01,overcast clouds
11,Omsukchan,RU,62.5333,155.8,28.42,96,100,5.35,light snow
12,Upernavik,GL,72.7868,-56.1549,20.46,86,16,8.68,few clouds
13,Rikitea,PF,-23.1203,-134.9692,72.41,65,0,10.69,clear sky
14,Ushuaia,AR,-54.8,-68.3,55.06,41,20,13.8,few clouds
15,Albany,US,42.6001,-73.9662,62.87,59,4,1.99,clear sky
16,Punta Arenas,CL,-53.15,-70.9167,55.51,41,20,25.32,few clouds
17,Kununurra,AU,-15.7667,128.7333,75.18,83,44,0.0,scattered clouds
18,Manoel Urbano,BR,-8.8389,-69.2597,79.81,72,84,4.03,moderate rain
19,Coahuayana,MX,18.7333,-103.6833,87.96,64,62,4.45,broken clouds
20,Avarua,CK,-21.2078,-159.775,73.45,83,75,9.22,broken clouds
21,Busselton,AU,-33.65,115.3333,56.03,67,0,13.2,clear sky
22,Forestville,US,38.8451,-76.875,69.33,51,40,14.97,scattered clouds
23,Saint-Philippe,RE,-21.3585,55.7679,69.39,84,42,11.12,light rain
24,Atar,MR,20.5169,-13.0499,94.57,22,21,10.04,few clouds
25,Green River,US,41.5286,-109.4662,75.6,24,97,16.78,light rain
26,Puerto Ayora,EC,-0.7393,-90.3518,76.96,91,51,5.01,broken clouds
27,Kaitangata,NZ,-46.2817,169.8464,37.99,82,30,6.06,scattered clouds
28,Kendari,ID,-3.945,122.4989,76.3,92,37,3.76,heavy intensity rain
29,Tuktoyaktuk,CA,69.4541,-133.0374,32.0,93,75,18.41,broken clouds
30,Sergiyevsk,RU,53.9413,51.165,45.45,94,100,10.0,overcast clouds
31,Chuy,UY,-33.6971,-53.4616,58.17,64,98,9.28,overcast clouds
32,Yekepa,LR,7.5753,-8.5419,69.58,93,100,2.28,overcast clouds
33,Verkhnevilyuysk,RU,63.4453,120.3167,24.44,96,90,4.0,overcast clouds
34,Koulikoro,ML,14.0,-7.75,82.42,54,53,7.76,broken clouds
35,Butaritari,KI,3.0707,172.7902,81.86,77,100,17.29,overcast clouds
36,Bar Harbor,US,44.3876,-68.2039,65.26,58,40,8.99,scattered clouds
37,Bredasdorp,ZA,-34.5322,20.0403,55.81,95,100,5.28,overcast clouds
38,Mataura,NZ,-46.1927,168.8643,42.48,90,48,1.12,scattered clouds
39,Cayenne,GF,4.9333,-52.3333,87.84,62,11,12.66,few clouds
40,Georgetown,MY,5.4112,100.3354,80.89,91,20,2.3,thunderstorm
41,Clyde River,CA,70.4692,-68.5914,28.63,100,100,9.22,fog
42,Muzhi,RU,65.3667,64.6667,31.03,66,100,4.59,overcast clouds
43,Goderich,CA,43.7501,-81.7165,55.9,62,0,9.22,clear sky
44,Carnarvon,AU,-24.8667,113.6333,68.36,69,0,20.24,clear sky
45,Macheng,CN,31.1783,115.0319,71.85,57,90,3.0,overcast clouds
46,Gushi,CN,34.6425,109.5843,69.6,45,96,1.52,overcast clouds
47,Tautira,PF,-17.7333,-149.15,77.09,75,0,16.89,clear sky
48,Henderson,US,36.0397,-114.9819,94.82,31,0,12.66,clear sky
49,Kloulklubed,PW,7.0419,134.2556,83.32,75,10,13.49,clear sky
50,Lubumbashi,CD,-11.6609,27.4794,70.92,33,25,5.3,scattered clouds
51,Cape Town,ZA,-33.9258,18.4232,62.1,84,0,8.05,clear sky
52,Kahului,US,20.8947,-156.47,82.98,76,40,13.8,scattered clouds
53,Iqaluit,CA,63.7506,-68.5145,31.73,93,100,17.27,light snow
54,Torbay,CA,47.6666,-52.7314,60.76,90,100,6.91,overcast clouds
55,Bluff,NZ,-46.6,168.3333,42.8,55,58,6.82,broken clouds
56,Barrow,US,71.2906,-156.7887,32.02,86,100,17.27,light snow
57,Waingapu,ID,-9.6567,120.2641,79.32,79,99,1.63,overcast clouds
58,De-Kastri,RU,51.4667,140.7833,44.83,82,100,1.63,overcast clouds
59,Hella,NO,67.2,14.4333,50.56,69,0,16.11,clear sky
60,Uyuni,BO,-20.4597,-66.825,55.45,6,0,28.66,clear sky
61,Maicao,CO,11.3832,-72.2432,85.44,70,96,7.72,overcast clouds
62,Mango,US,27.9797,-82.3065,77.11,73,100,16.11,overcast clouds
63,Vestmannaeyjar,IS,63.4427,-20.2734,50.07,93,100,13.78,light rain
64,San Policarpo,PH,12.1791,125.5072,80.71,80,100,10.25,overcast clouds
65,Rakai,UG,-0.72,31.4839,63.86,77,87,3.36,overcast clouds
66,Corinto,GR,37.9407,22.9573,70.9,68,0,7.31,clear sky
67,Arraial Do Cabo,BR,-22.9661,-42.0278,69.76,78,100,9.22,overcast clouds
68,Comodoro Rivadavia,AR,-45.8667,-67.5,73.26,13,0,19.57,clear sky
69,Isangel,VU,-19.55,169.2667,75.31,73,75,6.91,broken clouds
70,Aykhal,RU,66.0,111.5,16.11,96,100,4.74,overcast clouds
